사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,자치구,총승차인원,총하차인원,총유동인구
202604,2호선,신당,23,1,5983,1508,13153,8275,34738,16826,59651,33775,34417,22882,23917,19896,22695,21705,25238,22355,24511,23863,23979,24996,25743,27573,28638,32989,32930,44993,35592,63278,25447,42681,20957,27831,19751,25391,17122,22607,8920,13748,1842,4607,1,57,0,1,0,0,20260503,중구,485248,501838,987086
202604,2호선,신대방,276,3,24347,2109,37146,10012,98945,15502,138580,25989,87413,19240,49304,18815,39676,20078,40436,23806,38148,27474,32606,32295,32029,42073,33961,49688,33879,67010,32988,99482,21488,82218,16233,59529,13690,60736,10085,58195,5464,32963,1164,10212,3,286,1,1,0,0,20260503,동작구,787862,757716,1545578
202604,2호선,신도림,4536,23,40445,5516,64091,20762,160532,46002,162521,111665,100364,76842,71349,59015,67394,61819,75957,66516,75324,72911,74772,67501,78847,79279,87661,95633,108801,125477,122135,183767,72503,124089,58480,80789,59920,75355,54560,72181,21638,51483,3241,22965,17,2871,0,0,0,0,20260503,구로구,1565088,1502461,3067549
202604,2호선,신림,256,10,37949,3817,75568,18575,201763,32249,291555,46695,180040,44578,101475,43525,84288,46244,89939,52697,83318,60475,74403,66890,72476,85832,77234,105548,78739,146339,79180,239711,57322,202000,47926,141282,43793,132850,36576,126963,21395,81538,5014,27403,1,528,0,0,0,0,20260503,관악구,1740210,1705749,3445959
202604,2호선,신설동,47,0,1111,298,1937,1977,5454,6238,10914,14834,6590,10726,5979,8841,7086,7491,8274,7647,9121,8445,9193,6751,9750,6261,10156,5988,12885,6913,13178,8246,5666,6643,3474,5031,3008,4658,1879,4442,909,2732,133,921,1,164,0,0,0,0,20260503,동대문구,126745,125247,251992
202604,2호선,신정네거리,113,1,9147,953,20946,2661,56117,4861,48391,13704,26079,9493,19303,8361,17420,8888,17015,11079,16654,13442,13249,14396,12749,18770,12961,24373,12486,33406,12524,49992,7532,38848,5660,21858,4617,19111,3511,17191,1504,10993,302,3356,0,107,0,0,0,0,20260503,양천구,318280,325844,644124
202604,2호선,신촌,46,5,6679,2911,15412,16083,40924,40614,59200,96212,46836,103501,46518,80941,55224,71287,65086,73750,71742,79716,73281,69111,83497,65430,96582,70909,115086,94267,109668,121177,79858,84275,81446,56162,84791,49954,80882,45188,38919,30826,7203,8391,7,236,0,0,0,0,20260503,마포구,1258887,1260946,2519833
202604,2호선,아현,10,2,4999,620,13385,5753,36200,13401,48980,22826,29870,16212,20219,13955,18758,11699,20984,14049,18258,15849,16425,15607,19556,18553,22596,21303,22343,28402,20814,38632,13456,28658,10013,20274,7913,18880,5678,17248,2390,9551,440,2904,0,34,0,0,0,0,20260503,마포구,353287,334412,687699
202604,2호선,양천구청,38,2,5176,712,13893,3082,36964,6350,33161,11032,19114,5982,13308,4989,11188,5665,11897,7410,10743,9629,8506,9970,8825,12929,8968,16102,9645,22733,9930,32382,4707,26143,3382,16048,2765,14080,2314,10814,677,7867,163,2580,0,22,0,0,0,0,20260503,양천구,215364,226523,441887
202604,2호선,역삼,43,4,3706,7665,9545,50770,17035,171181,28401,382087,27138,323571,29068,125527,37571,67915,43694,58899,52181,64704,63507,50889,80049,44979,110873,45595,240802,53066,287799,59960,161708,39168,93623,25021,81196,22533,55110,18971,20464,11412,3614,3590,4,106,0,0,0,0,20260503,강남구,1447131,1627613,3074744
202604,2호선,영등포구청,81,5,5899,4705,15120,16874,46763,45145,57677,142356,35824,60116,27119,31161,28527,26960,31892,29344,32343,32537,33007,29585,37668,30770,43880,34752,69095,45321,112959,64810,41949,43364,32136,27881,28475,25284,20355,22913,9455,14585,1881,5543,4,242,0,0,0,0,20260503,영등포구,712109,734253,1446362
202604,2호선,용답,15,0,2653,364,3751,1347,9029,1974,14990,4654,8316,5641,5833,3997,5555,3421,6272,3916,5592,4537,5011,4308,5642,5271,7427,6912,6561,8161,4780,12586,2846,8760,2317,6370,1998,6968,1485,6722,601,3914,187,1226,0,1,0,0,0,0,20260503,성동구,100861,101050,201911
202604,2호선,을지로3가,25,4,1165,2220,3196,29967,7383,87299,14914,179200,20715,74007,26781,36201,28464,31863,30186,30345,32906,33048,37383,30848,41622,32481,55577,37475,110947,45514,143545,54184,61622,35476,49819,23195,53742,19399,45790,16595,26120,9579,5214,2421,4,70,0,0,0,0,20260503,중구,797120,811391,1608511
202604,2호선,을지로4가,8,0,1238,1163,2704,16346,6819,39451,13083,82122,16745,41460,19917,26744,23253,26238,23256,23645,24705,23583,27501,22249,31639,21568,38613,20812,67182,22509,73112,22906,33187,16538,21342,13058,18354,12679,12612,12196,6335,7083,1222,2156,1,27,1,0,0,0,20260503,중구,462829,454533,917362
202604,2호선,을지로입구,141,1,3295,3295,5156,41253,13074,149677,21217,364524,31351,179435,39098,101941,50259,84804,56804,75003,69238,78959,80049,69518,95315,69880,118212,73991,206217,84491,298243,87953,152514,59404,145088,42716,101640,34273,84378,25398,35929,13600,5071,5375,4,1064,0,0,0,0,20260503,중구,1612293,1646555,3258848
202604,2호선,이대,12,1,3558,892,11544,8123,32535,17672,43411,52904,27553,61669,23102,46928,25305,33032,34098,36636,34582,39903,32260,29573,42894,30302,45115,32422,57115,41278,52391,52383,31973,38672,28297,27507,28341,26167,21636,26071,8898,17721,1359,5414,0,131,0,0,0,0,20260503,마포구,585979,625401,1211380
202604,2호선,잠실나루,2,0,4365,2313,17790,12388,50069,27140,59849,44871,36965,27902,30369,21735,28120,19206,26508,23231,24521,25158,25501,24051,30027,25228,34487,28415,41940,36803,34591,50685,18314,36199,12971,24192,9854,22040,6903,20507,2955,10810,538,3433,0,56,0,0,0,0,20260503,송파구,496639,486363,983002
202604,2호선,잠실새내,20,1,6602,1187,22572,10617,72374,19622,96822,32066,59725,33384,41540,27852,36689,30789,38049,36177,37368,39969,34241,41768,37882,49947,41651,60409,44546,75528,47470,95232,37155,64647,32712,41201,31482,36718,31821,33596,17233,17786,3553,5946,4,115,0,0,0,0,20260503,송파구,771511,754557,1526068
202604,2호선,종합운동장,34,4,2013,1617,7378,21192,19319,21680,26427,29970,18142,15185,13277,13899,13304,15241,14215,38292,13188,58293,13628,23369,18295,29612,36902,54790,75894,125113,27728,123757,23197,32166,30761,14190,129489,14070,94072,12688,4354,5921,521,2063,2,126,0,0,0,0,20260503,송파구,582140,653238,1235378
202604,2호선,한양대,2,0,1249,767,3235,9306,6701,19734,10412,84660,8356,70454,10911,63728,18394,23111,23143,47827,25567,31638,32817,26708,39416,17897,53021,14923,62179,19938,52988,24004,28223,12822,23499,8663,25997,7894,17613,7525,10413,5188,2330,1657,1,39,0,0,0,0,20260503,성동구,456467,498483,954950
202604,2호선,합정,116,0,11078,3249,18878,14947,43786,36093,56013,97708,37742,90571,31799,58764,33330,55754,40967,60283,44185,66213,46633,62501,52393,64706,62688,74626,85173,93323,119568,125657,82981,84211,71962,50257,78283,39972,71792,36200,37942,24639,6735,9373,14,355,0,0,0,0,20260503,마포구,1034058,1149402,2183460
202604,2호선,홍대입구,746,43,23155,3683,32225,20322,67156,47436,86877,126224,69980,165448,67421,129765,75838,139836,89891,158575,103204,171849,114610,162417,137436,161553,166487,173093,194440,203835,215451,245174,184955,178850,182197,121763,201481,97503,194151,79936,98985,55028,13776,19757,20,2514,0,0,0,0,20260503,마포구,2320482,2464604,4785086
