구명,서비스_업종_코드_명,매출_20대,매출_30대,매출_40대,매출_50대,매출_60대이상
노원구,패스트푸드점,46562881.80327869,58488420.40983607,59825592.18032787,54375025.885245904,23996705.540983606
노원구,한식음식점,274981630.7867647,426508392.2058824,480196479.625,609286001.1691177,571431728.4117647
도봉구,분식전문점,17008737.489130434,32925635.532608695,41554199.18478261,49783224.93478261,39608858.63043478
도봉구,양식음식점,21488137.75,11303939.375,12538392.5,14742684.5,5977246.125
도봉구,일식음식점,28967135.43478261,46588403.04347826,45138237.69565217,56932176.73913044,56869436.17391305
도봉구,중식음식점,14096633.365853658,22960435.585365854,34463813.780487806,41879459.09756097,35202692.0
도봉구,치킨전문점,7185377.9130434785,13144434.942028986,17338226.217391305,22895992.15942029,20073888.492753625
도봉구,커피-음료,25014301.449541286,36960031.30275229,33860325.76146789,34824821.3119266,31117673.880733944
도봉구,패스트푸드점,18745061.8,32707996.95,34400416.9,29362006.05,19561743.3
도봉구,한식음식점,66143224.82467532,164588738.0974026,217930446.20779222,321496919.4480519,424842088.5064935
동대문구,분식전문점,32591355.75,37339935.0546875,42095928.6171875,52444954.6171875,41060682.3203125
동대문구,양식음식점,56948262.625,96067591.65,63235683.325,73705506.075,41617919.75
동대문구,일식음식점,31190400.730769232,31306822.076923076,28758507.807692308,36430891.26923077,23127908.173076924
동대문구,중식음식점,54135428.557692304,51295006.865384616,46468801.288461536,55419624.32692308,39410753.01923077
동대문구,치킨전문점,15960073.92063492,22907214.015873015,29160280.14285714,34443103.14285714,24911418.301587302
동대문구,커피-음료,76979912.04678363,57365991.935672514,45837116.900584795,50462949.00584795,28784365.959064327
동대문구,패스트푸드점,36463531.114754096,35854465.78688525,28347563.573770493,29593978.409836065,13992631.704918033
동대문구,한식음식점,152231539.01858735,232085196.8401487,248278859.9182156,319709923.65799254,378304937.8401487
동작구,분식전문점,44427114.28318584,54875320.946902655,50872781.39823009,60572595.840707965,42275455.46902655
동작구,양식음식점,60911062.4,90321286.85714285,62094075.2,59917729.885714285,25648137.37142857
동작구,일식음식점,102595959.85714285,155239545.69047618,94451945.23809524,87983306.23809524,56395979.071428575
동작구,중식음식점,44413887.54794521,69201464.53424658,58118312.36986301,63947129.95890411,49137387.76712329
동작구,치킨전문점,18526612.806818184,26724678.568181816,21491849.46590909,26259811.011363637,20283583.829545453
동작구,커피-음료,85471887.29530202,102790124.55033557,65618045.95973154,61606684.0,43596023.503355704
동작구,패스트푸드점,64087487.507246375,101660622.69565217,105931244.49275362,90571955.28985508,47825726.56521739
동작구,한식음식점,288696379.9637306,503258279.5284974,346014183.10362697,413020869.4715026,444757839.4248705
마포구,분식전문점,67232105.0,80104040.70121951,66024848.78658537,53917878.45731708,27770444.17073171
마포구,양식음식점,345769774.1551724,302294224.8965517,135774832.0,105177305.1724138,41193634.672413796
마포구,일식음식점,297974612.3867925,271078827.6698113,111332308.2264151,94200143.31132075,41115167.943396226
마포구,중식음식점,121006073.9,118254190.86666666,76555565.33333333,64537259.07777778,38369875.87777778
마포구,치킨전문점,33081600.88235294,44981876.08235294,35506990.105882354,38144951.34117647,19620557.505882353
마포구,커피-음료,309949287.4893617,253513075.56595746,127692613.83404255,98985694.05106384,44577747.89787234
마포구,패스트푸드점,94057752.81927711,100169382.19277108,58484939.56626506,47427088.927710846,20930593.46987952
마포구,한식음식점,546674064.7099236,626717136.1832061,391797304.3816794,390511128.351145,280888065.33206105
서대문구,분식전문점,57970376.458333336,52480130.041666664,53187547.927083336,52757981.802083336,32980005.895833332
서대문구,양식음식점,95052384.54385965,80025374.91228071,45617534.596491225,45906547.298245616,18359187.842105262
서대문구,일식음식점,148251407.91489363,85033225.29787233,45100893.61702128,61745014.61702128,33179009.659574468
서대문구,중식음식점,160294426.36956522,112225381.43478261,79691214.0,92868853.7826087,65233117.30434783
서대문구,치킨전문점,32881750.21212121,23397725.333333332,19432677.560606062,27900827.166666668,14884303.833333334
서대문구,커피-음료,167604085.32666665,102232549.45333333,58015387.24666667,62374636.76,29244755.6
서대문구,패스트푸드점,107158241.11363636,80149977.81818181,56788540.22727273,62054502.02272727,26304149.818181816
서대문구,한식음식점,249260319.785,240854079.52,212650956.405,285851421.915,262407502.845
서초구,분식전문점,83815259.12280701,133343890.44736843,125129819.16666667,108648358.70175439,67918623.79824561
서초구,양식음식점,156253807.70588234,291174618.2058824,199049251.29411766,160052493.12745097,126193963.58823529
서초구,일식음식점,231239506.84057972,386241670.04347825,231171406.23188406,184456958.07246378,139658947.60869566
서초구,중식음식점,113234056.09210527,203351257.5526316,145442686.18421054,138851450.89473686,107311147.11842105
서초구,치킨전문점,38647893.1875,77652002.609375,74453821.0625,71477982.390625,53515083.734375
서초구,커피-음료,176843225.96954316,281552645.7208122,206207153.40101522,165012540.44162437,118932741.74111675
서초구,패스트푸드점,88438080.92207792,127411696.49350649,90204751.03896104,71500465.76623377,35660066.64935065
서초구,한식음식점,516163500.9519231,976181231.0288461,755809923.2403846,765725120.5769231,782846207.5625
성동구,분식전문점,44153935.91428571,48376473.43809524,35092363.14285714,38126820.08571429,25914500.742857143
성동구,양식음식점,69018637.5,72172271.33333333,30606149.208333332,20723477.479166668,7889371.916666667
성동구,일식음식점,93926952.88636364,79653827.97727273,41672474.65909091,38643222.29545455,19362729.227272727
성동구,중식음식점,31115666.14285714,37334564.64285714,27623590.23214286,27674544.92857143,22066275.089285713
성동구,치킨전문점,18911038.69333333,24303264.266666666,20933738.973333333,30030587.16,20221196.69333333
성동구,커피-음료,92639800.17763157,114977766.03947368,64665428.85526316,49868534.7631579,26392532.34868421
성동구,패스트푸드점,38521638.47692308,38239617.10769231,20247198.692307692,18753417.353846155,10324576.753846154
성동구,한식음식점,310640173.99489796,446564591.4132653,306316250.46428573,346840673.79591835,303828507.31122446
성북구,분식전문점,47680661.49612403,32063070.751937985,39040852.72868217,44176360.697674416,19625707.751937985
성북구,양식음식점,87571328.33333333,63439649.083333336,42192647.916666664,56469788.61111111,26985951.805555556
성북구,일식음식점,73002294.9,50452398.55,30420018.6,32745906.05,11821524.125
성북구,중식음식점,41440153.770833336,34097441.645833336,33302272.354166668,41653360.479166664,24912258.75
성북구,치킨전문점,17952927.328767125,20993256.301369864,24199392.712328766,30100725.630136985,18991223.630136985
성북구,커피-음료,111449987.07027027,78170249.61081082,62898298.4,68923416.76216216,32348464.167567566
